Section,Team,Position
Communication,SoMe,Content Creator
Communication,SoMe,Analyst
Communication,Film,Producer
Communication,Film,Motion Designer
Communication,Film,Director 
Communication,Coverage,Assistant Head
Communication,Coverage,Magazine Executive
Communication,Coverage,Website Executive
Communication,Coverage,Journalist 
Communication,Coverage,Language Editor
Communication,Creative Outreach,Project Manager
Communication,Creative Outreach,Builder
Communication,Research,Research Assistant
Communication,Marketing,Stunt Coordinator
Communication,Marketing,Stunter
Communication,Marketing,Public Display
Communication,Marketing,Public Display Coordinator
SPP,Communication,Press and Media Assistant
SPP,Communication,Social Media Coordinator
SPP,Communication,Social Media Content Creator
SPP,Coordination,Tour Coordinator
SPP,Peace Project,Peace Coordinator
SPP,Peace Project,Peace Keepers
SPP,Campaign,Project Coordinator
Admin,Secretariat,Project Leader
Admin,Secretariat,Project Developer
Admin,Secretariat,Environment Coordinator
Admin,Secretariat,Environment Consultant
Admin,Welfare,Assistant Coordinator of Chill
Admin,Welfare,Executive Chillout Manager
Admin,Welfare,Assistant Coordinator of Buisness and Welfare
Admin,Welfare,Executive Business Manager
Admin,Transport,Coordinator of Mobility
Admin,Transport,Coordinator of ISFiT Rail
Admin,Transport,Driving Crew Manager
Culture,Art,Project Coordinator
Culture,Art,Marketing Coordinator
Culture,Ceremony,Ceremony Producer
Culture,Ceremony,Stage Designer
Culture,Concert,Booking Coordinator for Knaus
Culture,Concert,Marketing Coordinator
Culture,Concert,Venue Coordinator
Culture,Concert,Disk Jockey and Event Coordinator
Culture,Event,Ticket Sales Coordinator
Culture,Event,Personnel Coordinator
Culture,Event,Theme Party Team Member
Culture,Literature,Project Coordinator
Culture,Literature,Marketing Coordinator
Culture,Performing Arts,Project Coordinator
Culture,Performing Arts,Marketing Coordinator
Culture,Plenary Sessions,Debate Coordinator
Culture,Plenary Sessions,Economy Coordinator
Culture,Plenary Sessions,Marketing Coordinator
Culture,Project Day,Project Coordinator
OR,Economy ,Economic Manager
OR,HR,Human Resources Manager
OR,Internal Events,Internal Events Planner
OR,Internal Events,Internal Social Arena Managers
OR,Finance,Business Liason
Participant,Dialogue,Dialogue Facilitator
Participant,Participant Coordination,Participants Support Organizer 
Participant,Participant Coordination,Participants Accountant
Participant,Participant Coordination,Premium Ambassadors Organizer
Participant,Host,Host Arrival Day Coordinator
Participant,Host,HMS Coordinator
Participant,Host,Host Marketing Assistant
Participant,Workshop,Workshop Leader